"id","type","id_jo","id_country"
1007,"none",21,69
1008,"none",1,3
1009,"none",23,226
1010,"none",12,226
1011,"none",1,226
1012,"none",24,217
1013,"none",22,21
1014,"none",22,21
1015,"Bronze",1,155
1016,"Silver",13,155
1017,"none",21,40
1018,"none",21,40
1019,"none",25,61
1020,"none",21,231
1021,"none",21,231
1022,"none",21,31
1023,"Gold",23,157
1024,"none",14,234
1025,"none",8,87
1026,"none",10,87
1027,"none",10,87
1028,"Silver",5,87
1029,"none",5,87
1030,"Silver",5,87
1031,"Silver",11,87
1032,"none",11,87
1033,"none",11,87
1034,"none",19,155
1035,"none",2,216
1036,"Gold",3,216
1037,"Bronze",3,216
1038,"Gold",4,216
1039,"Silver",4,216
1040,"Silver",4,216
1041,"none",10,216
1042,"none",5,216
1043,"none",7,203
1044,"none",0,143
1045,"none",8,143
1046,"none",20,57
1047,"none",20,57
1048,"none",13,103
1049,"none",22,10
1050,"none",25,10
1051,"none",19,10
1052,"none",19,10
1053,"none",20,10
1054,"none",20,10
1055,"none",13,45
1056,"Gold",12,10
1057,"none",18,68
1058,"none",19,143
1059,"none",19,143
1060,"none",12,143
1061,"none",1,143
1062,"none",13,70
1063,"none",13,70
1064,"none",13,70
1065,"none",13,242
1066,"Bronze",12,57
1067,"none",24,242
1068,"none",12,242
1069,"none",13,10
1070,"none",12,113
1071,"none",25,88
1072,"none",19,88
1073,"none",20,88
1074,"none",25,88
1075,"none",15,13
1076,"none",11,41
1077,"none",11,41
1078,"none",11,41
1079,"none",26,41
1080,"none",8,238
1081,"none",7,238
1082,"none",14,238
1083,"none",12,238
1084,"none",1,238
1085,"none",12,242
1086,"none",1,242
1087,"none",20,239
1088,"none",8,143
1089,"none",13,10
1090,"none",13,228
1091,"Bronze",24,174
1092,"none",1,115
1093,"none",14,115
1094,"none",13,115
1095,"none",0,115
1096,"none",1,115
1097,"none",9,115
1098,"none",18,157
1099,"none",18,157
1100,"none",7,227
1101,"none",14,227
1102,"none",14,31
1103,"none",12,212
1104,"none",13,180
1105,"none",12,141
1106,"none",21,143
1107,"none",1,40
1108,"none",0,198
1109,"none",0,198
1110,"none",0,198
1111,"none",23,
1112,"Silver",23,
1113,"none",24,
1114,"none",0,198
1115,"none",13,87
1116,"none",0,234
1117,"none",0,234
1118,"none",0,234
1119,"none",5,234
1120,"none",20,
1121,"none",23,
1122,"Gold",11,41
1123,"none",21,69
1124,"none",21,69
1125,"none",0,69
1126,"none",0,69
1127,"none",18,119
1128,"none",21,119
1129,"none",21,119
1130,"none",0,119
1131,"none",0,119
1132,"none",14,87
1133,"none",8,212
