"id","name","sex","height","wheight","team","id_country"
81085,"Fernando Scheffler Spamer","M","183","73","Mexico",143
81086,"Ricardo Scheffler Spamer","M","184","83","Mexico",143
81087,"Monika Scheftschik (-Wimmer)","F","173","74","West Germany",
81088,"Mark Anthony Scheib","M","183","84","New Zealand",157
81089,"Jrgen Scheibe","M","167","63","West Germany",
81090,"Mario Scheiber","M","176","84","Austria",14
81091,"Lisa Alice Scheibert","F","185","79","Norway",164
81092,"Sonja Scheibl","F","163","66","Germany",87
81093,"Christine Scheiblich (-Hahn)","F","172","68","East Germany",
81094,"Ueli Scheidegger","M",,,"Switzerland",216
81095,"Wolfgang Scheidel","M","183","90","East Germany",
81096,"Wilson Scheidemantel","M",,,"Brazil",31
81097,"Robert Scheidt","M","188","76","Brazil",31
81098,"Kurt Schein","M","180","74","Austria",14
81099,"Ruben Scheire","M","175","62","Belgium",21
81100,"Egon Scheiwiller","M","177","67","Switzerland",216
81101,"Marcel Schelbert","M","191","83","Switzerland",216
81102,"Bernt Scheler","M","178","68","Sweden",215
81103,"Charlotta Eva  Schelin","F","179","64","Sweden",215
81104,"Ingeborg  Schell (Karl-, -Pilz)","F","165","63","West Germany",
81105,"Ute Schell-Wagner-Stange","F","180","80","East Germany",
81106,"Franz Schelle","M","178","76","Germany-1",87
81107,"Anne Schellekens","F","163","48","Netherlands",155
81108,"Imke Anne Marian Schellekens-Bartels","F","178","61","Netherlands",155
81109,"Clifford Keith Wain Schellenberg","M",,,"Great Britain",234
81110,"Tobias Schellenberg","M","176","72","Germany",87
81111,"Gerhard Scheller","M","182","75","West Germany",
81112,"Gerlind Scheller","F","176","67","West Germany",
81113,"Hansrdi Scheller","M","184","78","Switzerland",216
81114,"Florence Schelling","F","174","65","Switzerland",216
81115,"Johannes  Schelling","M","188","88","Netherlands",155
81116,"Hartmut Schelter","M","176","73","East Germany",
81117,"Norbert  Schemansky","M","181","105.5","United States",238
81118,"Simon Schempp","M","178","68","Germany",87
81119,"Antonio Schenatti","M",,,"Italy",113
81120,"Adrie  Schenk","M","190","90","Netherlands",155
81121,"Christian Schenk","M","200","93","East Germany",
81122,"Franziska Michaela Schenk","F","173","67","Germany",87
81123,"Hannelore  Schenk","F","182","78","Switzerland-2",216
81124,"Hans Schenk","M","185","85","Germany",87
81125,"Heinz-Gnter Schenk","M","182","75","East Germany",
81126,"Hendrik  Schenk","M","198","100","United States",238
81127,"Juliane Rita Schenk","F","173","64","Germany",87
81128,"Michle Schenk (-Trsch)","F","175","61","Switzerland",216
81129,"Pavel Schenk","M","198","88","Czechoslovakia",
81130,"Johanna Margrietha  Schenk","F",,,"South Africa",206
81131,"Sylvia Schenk (-Kemper)","F","169","50","West Germany",
81132,"Siegfried Schenke","M","180","68","East Germany",
81133,"Amaru Reto Schenkel","M","183","89","Switzerland",216
81134,"Ueli Schenkel","M","186","83","Switzerland",216
81135,"Heinz Schenker","M","183","90","Switzerland-2",216
81136,"William Schenker","M","180","81","Puerto Rico",176
81137,"Luis Hctor Schenone","M","180","80","Argentina",10
81138,"Pieter Otto  Schep","M","188","78","Netherlands",155
81139,"Jeanelle Scheper","F","177","60","Saint Lucia",187
81140,"douard  Schepers","M","171","62","Belgium",21
81141,"Hans Schepers","M","179","82","Germany",87
81142,"Frank Schepke","M","198","95","Germany",87
81143,"Kraft Schepke","M","190","89","Germany",87
81144,"Tobias Scherbarth","M","195","87","Germany",87
81145,"Heinrich Scherer","M","178","76","Switzerland",216
81146,"Markus Scherer","M","156","52","West Germany",
81147,"Natlia Scherer Eidt","F","160","41","Brazil",31
81148,"Rodolphe Scherer","M","174","60","France",80
81149,"Sarah Scherer","F","173","62","United States",238
81150,"Stephen Scherer","M","183","66","United States",238
81151,"Fernando  de Queiroz Scherer","M","193","85","Brazil",31
81152,"Andreas Scherhaufer","M","197","99","Austria",14
81153,"Anja Scherl","F","160","48","Germany",87
81154,"William Harold  Scherr","M","183","100","United States",238
81155,"James Edwin  Scherr","M","183","95","United States",238
81156,"John Scherrenburg","M","187","92","Netherlands",155
81157,"Jan Scherrer","M","182","70","Switzerland",216
81158,"Rolf Scherrer","M","179","100","Switzerland",216
81159,"Mathias Schersing","M","182","68","East Germany",
81160,"Thomas Schertwitis","M","198","115","Germany",87
81161,"Chantal Schertz","F","170","61","France",80
81162,"Christian Scherbl","M","183","76","Austria",14
81163,"Franz Scherbl","M",,,"Austria",14
81164,"Adrian Schervan","M","189","82","Romania",180
81165,"Christina Illum Scherwin","F","176","67","Denmark",64
81166,"Adolf Scherwitzl","M","173","73","Austria",14
81167,"Ernst Scherzer","M","170","65","Germany",87
81168,"Karl-Heinz Scherzinger","M","184","78","West Germany",
81169,"Barbara Schett (-Eagle)","F","176","70","Austria",14
81170,"Johannes Schettel","M","184","94","West Germany",
81171,"Patrick Scheuber","M","182","75","Switzerland",216
81172,"Tine Scheuer-Larsen","F","170","65","Denmark",64
81173,"Scott Scheuermann","M","174","65","Canada",41
81174,"Andreas Scheuerpflug","M","196","86","Germany-2",87
81175,"Oriana Scheuss","F","168","67","Switzerland",216
81176,"Anja Scheytt","F","174","69","Germany",87
81177,"Leonardo Schianchi","M","185","88","Italy",113
81178,"Rzvan Schiau","M","182","77","Romania",180
81179,"Igor Schiavetti","M","175","78","Italy",113
81180,"Alberto Schiavi","M","178","71","Italy",113
81181,"Alberto Schiavon","M","180","70","Italy",113
81182,"Giuseppe Schiavon","M","185","86","Italy",113
81183,"Francesca Lizzy Schiavone","F","166","64","Italy",113
81184,"Laura Schiavone","F","173","75","Italy",113
81185,"Johannes  Schichtl","M","178","72","West Germany",
81186,"Jeffrey M.  Schiebler","M","171","55","Canada",41
81187,"Waltraud Schiefer","F","168","58","Italy",113
81188,"Bettina Schieferdecker","F","164","53","East Germany",
81189,"Markus Schiegl","M","178","73","Austria",14
81190,"Tobias Schiegl","M","199","89","Austria",14
81191,"Ren Schiekel","M","195","130","Germany",87
81192,"Robert Schiel","M","178","72","Luxembourg",131
81193,"Armand Schiele","M","182","79","France",80
