"id","type","id_jo","id_event","id_athlete"
227120,"none",9,149,113469
227121,"none",28,212,113470
227122,"none",28,213,113470
227123,"none",28,214,113470
227124,"none",28,215,113470
227125,"none",28,216,113470
227126,"none",28,217,113470
227127,"none",48,38,113471
227128,"none",48,39,113471
227129,"none",48,58,113471
227130,"Bronze",48,59,113471
227131,"none",47,38,113471
227132,"none",47,39,113471
227133,"none",30,38,113471
227134,"none",44,315,113472
227135,"Gold",16,97,113473
227136,"Silver",38,302,113474
227137,"Silver",15,302,113474
227138,"none",37,89,113475
227139,"none",28,18,113476
227140,"none",20,138,113477
227141,"none",20,139,113477
227142,"none",28,119,113478
227143,"Silver",0,119,113478
227144,"Bronze",12,119,113478
227145,"Bronze",11,119,113478
227146,"none",16,11,113479
227147,"Gold",16,12,113479
227148,"none",0,351,113480
227149,"none",44,191,113481
227150,"none",44,92,113481
227151,"none",29,20,113482
227152,"Gold",29,21,113482
227153,"none",29,22,113482
227154,"none",29,23,113482
227155,"none",29,24,113482
227156,"none",29,25,113482
227157,"none",29,26,113482
227158,"none",29,27,113482
227159,"none",6,205,113483
227160,"none",27,207,113484
227161,"none",25,163,113485
227162,"none",5,17,113486
227163,"none",5,308,113486
227164,"none",5,309,113486
227165,"none",9,401,113487
227166,"none",25,74,113488
227167,"Silver",14,117,113489
227168,"none",34,117,113489
227169,"none",29,73,113490
227170,"none",0,43,113491
227171,"Silver",44,316,113492
227172,"Bronze",44,635,113492
227173,"none",39,202,113493
227174,"none",39,50,113493
227175,"none",27,343,113494
227176,"none",35,343,113494
227177,"none",21,383,113495
227178,"none",21,384,113495
227179,"none",24,62,113496
227180,"none",24,7,113496
227181,"none",24,9,113496
227182,"none",4,62,113496
227183,"none",4,10,113496
227184,"none",4,7,113496
227185,"none",4,9,113496
227186,"none",5,6,113496
227187,"none",5,10,113496
227188,"none",5,8,113496
227189,"none",5,9,113496
227190,"none",6,6,113496
227191,"none",6,7,113496
227192,"none",6,8,113496
227193,"none",17,6,113496
227194,"none",17,7,113496
227195,"none",17,8,113496
227196,"none",17,9,113496
227197,"none",15,393,113497
227198,"none",15,394,113497
227199,"none",15,466,113497
227200,"none",15,551,113497
227201,"none",35,244,113498
227202,"none",20,292,113499
227203,"Silver",19,253,113500
227204,"Bronze",19,596,113501
227205,"Silver",1,596,113501
227206,"Silver",20,596,113501
227207,"none",19,182,113502
227208,"none",35,113,113503
227209,"Bronze",36,207,113503
227210,"none",36,97,113503
227211,"none",27,331,113504
227212,"none",35,318,113504
227213,"none",36,318,113504
227214,"none",26,113,113505
227215,"none",21,584,113506
227216,"none",21,585,113506
227217,"Gold",19,585,113506
227218,"none",20,231,113507
227219,"none",0,301,113508
227220,"none",46,316,113509
227221,"none",46,317,113509
227222,"none",33,342,113510
227223,"none",1,82,113511
227224,"none",26,101,113512
227225,"none",1,78,113513
227226,"none",47,30,113514
227227,"none",3,152,113515
227228,"none",15,387,113516
227229,"none",0,131,113517
227230,"none",12,131,113517
227231,"none",21,131,113517
227232,"Bronze",3,154,113518
227233,"Gold",3,370,113518
227234,"none",3,324,113518
227235,"Gold",3,371,113518
227236,"Gold",3,620,113518
227237,"none",3,621,113518
227238,"none",3,622,113518
227239,"none",40,154,113518
227240,"none",40,706,113518
227241,"none",40,707,113518
227242,"Gold",40,371,113518
227243,"Silver",40,683,113518
227244,"none",40,681,113518
227245,"none",21,585,113519
227246,"none",19,342,113520
227247,"none",20,197,113521
227248,"none",36,141,113522
227249,"none",25,141,113522
227250,"Bronze",1,69,113523
227251,"none",20,69,113523
227252,"none",37,400,113524
227253,"Gold",29,87,113525
227254,"none",37,312,113526
227255,"none",26,342,113526
227256,"Bronze",26,312,113526
227257,"Bronze",27,312,113526
227258,"none",35,342,113526
227259,"none",35,312,113526
227260,"none",36,342,113526
227261,"none",36,312,113526
227262,"none",1,111,113527
227263,"none",20,111,113527
227264,"none",35,28,113528
227265,"none",36,28,113528
227266,"Silver",28,235,113529
227267,"Bronze",28,86,113529
227268,"none",14,294,113530
227269,"Gold",14,295,113530
227270,"none",5,32,113531
227271,"none",5,33,113531
227272,"Bronze",8,451,113532
227273,"Bronze",18,451,113532
227274,"none",17,404,113533
227275,"Bronze",46,78,113534
227276,"none",13,377,113534
227277,"none",4,4,113535
227278,"none",4,5,113535
227279,"none",5,4,113535
227280,"none",5,5,113535
227281,"none",6,4,113535
227282,"none",6,5,113535
227283,"none",16,296,113536
227284,"Silver",16,297,113536
227285,"none",9,296,113536
227286,"Gold",9,297,113536
227287,"Gold",13,482,113537
227288,"none",38,30,113538
227289,"none",31,50,113539
227290,"none",21,102,113540
227291,"Silver",25,260,113541
227292,"none",12,421,113542
227293,"none",28,73,113543
227294,"none",35,88,113544
227295,"none",27,113,113545
227296,"Silver",35,78,113545
227297,"none",50,633,113546
227298,"none",40,731,113547
227299,"none",40,732,113547
227300,"none",1,277,113548
