"id","id_country","nb_athlete","id_jo"
1144,3,35,0
1145,177,28,0
1146,65,8,0
1147,134,26,0
1148,109,8,0
1149,121,32,0
1150,115,256,0
1151,115,60,3
1152,75,20,0
1153,209,422,0
1154,215,73,3
1155,237,12,3
1156,61,13,0
1157,125,4,3
1158,106,52,0
1159,149,44,0
1160,175,90,0
1161,174,53,3
1162,216,74,3
1163,176,71,0
1164,51,49,0
1165,88,34,0
1166,143,102,0
1167,198,11,0
1168,234,371,0
1169,119,49,0
1170,174,201,0
1171,87,463,0
1172,13,279,0
1173,238,545,0
1174,80,339,0
1175,206,93,0
1176,87,111,3
1177,160,55,0
1178,31,182,0
1179,215,187,0
1180,216,102,0
1181,108,36,0
1182,23,6,0
1183,168,5,0
1184,10,84,0
1185,158,8,0
1186,222,6,0
1187,178,23,3
1188,128,5,0
1189,140,6,0
1190,149,12,3
1191,233,13,0
1192,17,10,0
1193,165,5,0
1194,217,8,0
1195,195,9,0
1196,246,8,0
1197,117,4,0
1198,56,39,0
1199,113,107,3
1200,41,295,0
1201,10,20,3
1202,35,138,0
1203,35,30,3
1204,237,25,0
1205,191,5,0
1206,80,109,3
1207,41,108,3
1208,19,17,0
1209,94,22,0
1210,172,26,0
1211,146,4,3
1212,170,27,0
1213,55,16,0
1214,143,20,3
1215,171,16,0
1216,176,6,3
1217,43,15,0
1218,199,11,0
1219,18,6,0
1220,210,11,0
1221,192,17,0
1222,112,30,0
1223,135,7,0
1224,63,17,0
1225,14,102,0
1226,178,226,0
1227,62,64,0
1228,90,8,3
1229,64,110,0
1230,157,134,0
1231,105,27,0
1232,180,173,0
1233,107,42,0
1234,71,7,0
1235,26,13,0
1236,124,23,3
1237,180,23,3
1238,31,7,3
1239,21,68,0
1240,14,58,3
1241,9,13,0
1242,67,32,0
1243,26,5,3
1244,59,4,3
1245,155,201,0
1246,90,70,0
1247,234,49,3
1248,125,12,0
1249,213,6,0
1250,227,41,0
1251,204,1,0
1252,196,20,0
1253,47,38,0
1254,95,14,0
1255,59,17,0
1256,220,25,3
1257,169,13,0
1258,146,33,0
1259,130,47,0
1260,97,8,0
1261,42,10,0
1262,103,10,0
1263,226,13,0
1264,104,24,3
1265,203,27,3
1266,124,34,0
1267,110,58,0
1268,5,8,0
1269,145,5,3
1270,203,35,0
1271,53,7,0
1272,64,6,3
1273,227,8,3
1274,2,7,0
1275,105,5,3
1276,114,36,0
1277,21,5,3
1278,79,62,3
1279,129,7,0
1280,78,18,0
1281,225,7,0
1282,219,46,0
1283,209,17,3
1284,84,5,0
1285,3,4,3
1286,24,20,0
1287,4,3,0
1288,129,7,3
1289,28,10,0
1290,235,9,0
1291,247,9,0
1292,68,13,0
1293,13,22,3
1294,6,28,0
1295,99,6,0
1296,27,2,3
1297,137,6,0
1298,0,31,0
1299,0,8,3
1300,62,20,3
1301,22,10,0
1302,46,32,3
1303,55,4,3
1304,239,16,0
1305,248,19,0
1306,106,2,3
1307,56,4,3
1308,141,13,0
1309,131,6,0
1310,157,6,3
1311,190,6,0
1312,136,5,0
1313,152,6,0
1314,27,4,0
1315,16,14,0
1316,243,7,0
1317,242,26,0
1318,145,2,0
1319,12,5,0
1320,29,6,0
1321,74,6,0
1322,130,6,3
1323,212,6,0
1324,192,3,3
1325,5,5,3
1326,150,6,0
1327,92,4,0
1328,241,6,0
1329,74,1,3
1330,131,1,3
1331,196,2,3
1332,114,5,3
1333,73,19,3
1334,36,4,0
1335,33,4,0
1336,100,7,0
1337,70,4,0
1338,159,3,0
1339,85,5,0
1340,25,6,0
1341,40,8,0
