"id","noc","year","value"
617,"ARM",1967,
618,"ARM",1968,
619,"ARM",1969,
620,"ARM",1970,
621,"ARM",1971,
622,"ARM",1972,
623,"ARM",1973,
624,"ARM",1974,
625,"ARM",1975,
626,"ARM",1976,
627,"ARM",1977,
628,"ARM",1978,
629,"ARM",1979,
630,"ARM",1980,
631,"ARM",1981,
632,"ARM",1982,
633,"ARM",1983,
634,"ARM",1984,
635,"ARM",1985,
636,"ARM",1986,
637,"ARM",1987,
638,"ARM",1988,
639,"ARM",1989,
640,"ARM",1990,"2256838857.60997"
641,"ARM",1991,"2069870129.87013"
642,"ARM",1992,"1272835453.42634"
643,"ARM",1993,"1201312829.27524"
644,"ARM",1994,"1315158636.67553"
645,"ARM",1995,"1468317435.20148"
646,"ARM",1996,"1596968946.23708"
647,"ARM",1997,"1639492444.76152"
648,"ARM",1998,"1893726437.26462"
649,"ARM",1999,"1845482173.02732"
650,"ARM",2000,"1911563668.85006"
651,"ARM",2001,"2118467913.37873"
652,"ARM",2002,"2376335048.39976"
653,"ARM",2003,"2807061008.69084"
654,"ARM",2004,"3576615240.41616"
655,"ARM",2005,"4900469950.09033"
656,"ARM",2006,"6384451606.1421"
657,"ARM",2007,"9206301700.39619"
658,"ARM",2008,"11662040713.8753"
659,"ARM",2009,"8647936747.98704"
660,"ARM",2010,"9260284937.79781"
661,"ARM",2011,"10142111334.4961"
662,"ARM",2012,"10619320048.5857"
663,"ARM",2013,"11121465767.4067"
664,"ARM",2014,"11609512939.7542"
665,"ARM",2015,"10553337672.9872"
666,"ARM",2016,"10546135160.031"
667,"ARM",2017,"11527458565.7334"
668,"ARM",2018,"12457941907.0333"
669,"ARM",2019,"13672802157.8324"
670,"ARM",2020,"12645459213.5235"
671,"ASM",1960,
672,"ASM",1961,
673,"ASM",1962,
674,"ASM",1963,
675,"ASM",1964,
676,"ASM",1965,
677,"ASM",1966,
678,"ASM",1967,
679,"ASM",1968,
680,"ASM",1969,
681,"ASM",1970,
682,"ASM",1971,
683,"ASM",1972,
684,"ASM",1973,
685,"ASM",1974,
686,"ASM",1975,
687,"ASM",1976,
688,"ASM",1977,
689,"ASM",1978,
690,"ASM",1979,
691,"ASM",1980,
692,"ASM",1981,
693,"ASM",1982,
694,"ASM",1983,
695,"ASM",1984,
696,"ASM",1985,
697,"ASM",1986,
698,"ASM",1987,
699,"ASM",1988,
700,"ASM",1989,
701,"ASM",1990,
702,"ASM",1991,
703,"ASM",1992,
704,"ASM",1993,
705,"ASM",1994,
706,"ASM",1995,
707,"ASM",1996,
708,"ASM",1997,
709,"ASM",1998,
710,"ASM",1999,
711,"ASM",2000,
712,"ASM",2001,
713,"ASM",2002,"512000000"
714,"ASM",2003,"524000000"
715,"ASM",2004,"509000000"
716,"ASM",2005,"500000000"
717,"ASM",2006,"493000000"
718,"ASM",2007,"518000000"
719,"ASM",2008,"560000000"
720,"ASM",2009,"675000000"
721,"ASM",2010,"573000000"
722,"ASM",2011,"570000000"
723,"ASM",2012,"640000000"
724,"ASM",2013,"638000000"
725,"ASM",2014,"643000000"
726,"ASM",2015,"673000000"
727,"ASM",2016,"671000000"
728,"ASM",2017,"612000000"
729,"ASM",2018,"641000000"
730,"ASM",2019,"638000000"
731,"ASM",2020,
732,"ATG",1960,
733,"ATG",1961,
734,"ATG",1962,
