"id","name","id_sport"
435,"Snowboarding Men's Boardercross",50
436,"Snowboarding Men's Parallel Slalom",50
437,"Cross Country Skiing Women's Team Sprint",5
438,"Boxing Women's Middleweight",26
439,"Sailing Men's Skiff",10
440,"Shooting Women's Skeet",25
441,"Biathlon Men's 15 kilometres Mass Start",11
442,"Cross Country Skiing Men's 30 km Skiathlon",5
443,"Speed Skating Men's Team Pursuit (8 laps)",4
444,"Tennis Women's Doubles",31
445,"Cycling Women's Team Pursuit",28
446,"Speed Skating Women's 5,000 metres",4
447,"Snowboarding Women's Boardercross",50
448,"Shooting Mixed Running Target, 50 metres",25
449,"Luge Mixed Team Relay",18
450,"Cycling Women's Individual Time Trial",28
451,"Fencing Women's Sabre, Individual",23
452,"Cycling Men's Omnium",28
453,"Equestrianism Men's Three-Day Event, Individual",24
454,"Equestrianism Men's Three-Day Event, Team",24
455,"Cycling Women's Individual Pursuit, 3,000 metres",28
456,"Cycling Women's Points Race",28
457,"Sailing Men's Two Person Keelboat",10
458,"Cycling Men's Keirin",28
459,"Cycling Men's Team Sprint",28
460,"Tennis Mixed Doubles",31
461,"Bobsleigh Women's Two",22
462,"Golf Women's Individual",34
463,"Wrestling Women's Flyweight, Freestyle",17
464,"Swimming Men's 10 kilometres Open Water",8
465,"Wrestling Women's Middleweight, Freestyle",17
466,"Freestyle Skiing Women's Slopestyle",43
467,"Table Tennis Women's Team",39
468,"Athletics Women's Hammer Throw",6
469,"Canoeing Men's Kayak Singles, 200 metres",30
470,"Short Track Speed Skating Women's 500 metres",52
471,"Cycling Men's Tandem Sprint, 2,000 metres",28
472,"Shooting Women's Double Trap",25
473,"Short Track Speed Skating Women's 1,000 metres",52
474,"Rowing Women's Coxless Fours",21
475,"Freestyle Skiing Women's Ski Cross",43
476,"Freestyle Skiing Men's Ski Cross",43
477,"Nordic Combined Men's Normal Hill / 10 km, Individual",40
478,"Nordic Combined Men's Large Hill / 10 km, Individual",40
479,"Short Track Speed Skating Women's 1,500 metres",52
480,"Cycling Women's Keirin",28
481,"Snowboarding Women's Giant Slalom",50
482,"Canoeing Men's Canadian Singles, 200 metres",30
483,"Snowboarding Men's Slopestyle",50
484,"Cycling Women's Omnium",28
485,"Freestyle Skiing Men's Halfpipe",43
486,"Snowboarding Women's Parallel Giant Slalom",50
487,"Snowboarding Women's Parallel Slalom",50
488,"Cycling Women's Team Sprint",28
